gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,avg_monthly_spend,charges_to_avg_ratio,log_monthly_charges,log_total_charges,tenure_group_encoded,num_add_on_services,has_protective_services,has_streaming,is_month_to_month,is_electronic_check,is_auto_payment,senior_alone,early_tenure,high_risk_combo,contract_encoded,internet_dsl,internet_fiber_optic,internet_no,payment_bank_transfer_automatic,payment_credit_card_automatic,payment_electronic_check,payment_mailed_check
1,0,1,1,1.3218163049693654,1,1,1,1,1,1,0,0,0,0.9815557839637743,1.6599003993413788,0.9437613778746223,0.1661420723771627,0.8835806534037295,1.138435352996217,3,4,1,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0
1,0,0,0,-0.26741022933725495,0,0,0,0,1,1,0,0,0,-0.9715455124063844,-0.5622521877037466,-0.8492979951527723,-1.8427845384341728,-0.7646601886917312,-0.016825604898844087,2,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,1.4440644999160286,1,1,0,1,1,1,0,0,0,0.8370661472425127,1.756103949661117,0.913760402204558,-0.564167574157312,0.8032054686947814,1.1613700706468244,3,3,1,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0
1,0,0,0,-1.2046463905950056,1,0,0,1,0,0,0,1,0,0.6410916974366633,-0.9083256719398274,0.44185746252898445,1.4450573028897655,0.6878378531881109,-0.9679759171205138,0,2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0
0,0,1,0,0.6698259319204956,0,0,1,0,0,0,1,0,0,-0.8087870710422046,-0.10156067732153597,-0.7522446083680594,-0.80160748599086,-0.5487559154196275,0.4403972733560795,3,2,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
0,1,1,0,1.2810669066538112,1,0,1,1,1,0,0,1,0,1.0629350046458643,1.814665498679414,1.174165212365148,-0.7338124434400765,0.9272534376170465,1.1749439124271277,3,4,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0,-1.041648797332788,1,0,0,0,1,1,1,0,0,-0.023228471396724102,-0.8156380119926696,-0.042630343322988686,0.13233620309680688,0.2269527677357253,-0.5540412004231373,0,3,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0
1,0,0,0,-0.43040782259947247,1,0,0,1,0,0,1,1,1,0.9367141725675209,-0.06352313835317878,1.0939716036916933,-1.027184149746977,0.8590350289369985,0.4669341043290627,1,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,1,1,-0.06366323775948311,1,0,0,0,1,1,0,0,0,-0.35372775539133416,-0.2877929954941682,-0.3926279936590738,0.4017387951866554,-0.05821342030562243,0.29202519880202327,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,-1.0823981956483424,0,0,0,0,1,0,1,1,1,-0.5663102094180181,-0.8775396568649181,-0.46803427041252565,-1.1744974236006789,-0.27017463677413583,-0.7994797554955667,0,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0
